Logistic Regression,Dönen Varlıklar,Duran Varlıklar,Toplam Varlıklar,Kısa Vadeli Yükümlülükler,Uzun Vadeli Yükümlülükler,Toplam Yükümlülükler,Toplam Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Kontrol Gücü Olmayan Kaynaklar,Toplam Kaynaklar,Cari Oran,Dönen Varlıklar / Aktif (%),Asit Test Oranı,Nakit Oranı,Aktif Karlılık (%),Faaliyet Kar Marjı,Esas Faaliyet Kar Marjı,Brüt Kar Marjı (%),FAVÖK Marjı (%),Net Kar Marjı,Özsermaye Karlılığı (%),VAFÖK Marjı,ROCE Oranı,Finansman Gider / Net Satış,Borç Kaynak Oranı,Duran Varlıklar / Aktif ,Duran Varlıklar / Maddi Özkaynak,Esas Faaliyet Karı / Kısa Vadeli Borç,FAVÖK / Kısa Vade Borç,Net Borç / FAVÖK,Kısa Vade Borç / Aktif,Kısa Vade Borç / Dönen Varlık,Kısa Vade Borç / Özsermaye,Kısa Vade Borç / Toplam Borç,Net Satışlar / Kısa Vade Borç,Özsermaye / Aktif,Özsermaye / Maddi Duran Varlıklar,Toplam Borç / Özsermaye,Aktif Devir Hızı,Alacak Devir Hızı,Dönen Varlıklar Devir Hızı,Ticari Borçlar Devir Hızı,Finansal Kaldıraç,Stok Devir Hızı,Springate Skoru,Zmijewski Skoru,L Model Skoru,FBE_Sınıfı
Dusuk Orta Yuksek,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
Orta,1.07728e+08,1.03957e+08,2.11685e+08,8.65302e+07,3.03364e+06,8.95638e+07,1.22121e+08,1.22121e+08,0,2.11685e+08,1.24497,50.8906,0.956376,0.0728857,3.26436,12.7032,10.078,41.8766,12.7032,7.10184,5.65845,12.7032,5.83904,-0.0762719,73.34,49.1094,0.854762,0.113324,0.142845,7.24604,0.408768,0.803229,0.708559,0.966129,1.12448,0.576901,1.18411,0.7334,0.459651,1.2825,1.10716,3.19302,42.3099,2.57475,0.439925,-2.04021,-0.874521,
Orta,1.85167e+08,3.52359e+07,2.20403e+08,1.28988e+08,5.90796e+06,1.34896e+08,8.55068e+07,8.55068e+07,0,2.20403e+08,1.43553,84.013,0.592104,0.120446,-1.27405,-5.91526,-4.16907,1.90739,-5.91526,-0.967578,-3.28401,-5.91526,-7.78889,0.0106809,157.761,15.987,0.414025,-0.0938012,-0.133089,-7.8579,0.585239,0.696605,1.50852,0.956204,2.24993,0.387956,2.57202,1.57761,1.31674,4.77906,0.638036,2.66517,61.2044,3.81742,0.521316,-0.75976,-0.381658,
Yuksek,2.35142e+08,1.17956e+09,1.4147e+09,1.05176e+08,1.79192e+07,1.23095e+08,1.29161e+09,1.29161e+09,0,1.4147e+09,2.2357,16.6213,1.47015,0.267155,0.143689,4.56882,-2.79446,2.1124,4.56882,1.11283,0.157383,4.56882,0.589928,-0.272633,9.53039,83.3787,0.913478,-0.0485333,0.07935,14.7495,0.074345,0.447287,0.0814304,0.854428,1.73677,0.912989,2.62485,0.0953039,0.12912,1.62726,1.28728,16.5499,8.70114,5.87703,0.703967,-3.81944,-0.604926,
Yuksek,6.49863e+07,3.22647e+07,9.7251e+07,2.61847e+07,2.18817e+06,2.83729e+07,6.88781e+07,6.87862e+07,91914,9.7251e+07,2.48184,66.8232,1.87264,0.0385365,0.374977,2.90494,3.11915,9.18771,2.90494,1.79007,0.529441,2.90494,0.608515,-0.00722053,41.1929,33.1768,0.468546,0.0242671,0.0226005,47.9445,0.269249,0.402927,0.380161,0.922878,0.778002,0.708251,5.67986,0.411929,0.209476,0.471279,3.19001,0.916669,29.1749,1.63373,0.51999,-2.66383,-0.364613,
Yuksek,284998,1.75212e+07,1.78062e+07,489486,1.47227e+06,1.96176e+06,1.58444e+07,1.58444e+07,0,1.78062e+07,0.582239,1.60056,0.433105,0.0146194,0.177332,-17.893,-22.4658,0.0287504,-17.893,11.6387,0.199288,-17.893,-0.272624,-0.0076557,12.3814,98.3994,1.10583,-0.124518,-0.0991734,-40.412,0.0274897,1.71751,0.0308933,0.249514,0.554257,0.889827,18662.5,0.123814,0.0152363,18.6911,1.05049,33.73,11.0173,0,0.0738323,-3.68232,-0.478799,
Orta,2.55682e+08,4.16999e+08,6.72682e+08,1.74022e+08,1.83854e+08,3.57876e+08,3.14805e+08,2.85821e+08,2.89844e+07,6.72682e+08,1.46925,38.0094,1.0932,0.0442369,2.82017,12.4462,12.7535,29.4256,12.4462,5.11618,6.0262,12.4462,6.86067,-0.141818,113.682,61.9906,1.34333,0.271747,0.265199,7.75456,0.258699,0.680619,0.552793,0.486263,2.13076,0.467986,0.829615,1.13682,0.551227,2.60832,0.689542,5.62918,53.2014,4.82732,0.449801,-1.4003,-0.346557,
Orta,2.8218e+08,3.92554e+08,6.74734e+08,1.82245e+08,1.27012e+08,3.09257e+08,3.65477e+08,3.65477e+08,227,6.74734e+08,1.54835,41.821,0.664019,0.194761,2.67793,20.9622,21.0794,24.2034,20.9622,11.5695,4.94392,20.9622,4.85201,-0.0864809,84.6174,58.179,1.07489,0.180642,0.179638,9.44637,0.270099,0.645847,0.498651,0.5893,0.85696,0.541661,0.983408,0.846174,0.231465,1.8738,1.8068,5.29585,45.8339,0.85142,0.436805,-1.81417,-0.36618,
Yuksek,1.38135e+08,4.5427e+07,1.83562e+08,2.85094e+07,9.12032e+06,3.76297e+07,1.45933e+08,1.45933e+08,0,1.83562e+08,4.84526,75.2526,1.71078,1.25142,3.17339,1.53842,1.89454,5.86152,1.53842,2.24788,3.99167,1.53842,2.17183,-0.0188576,25.7857,24.7474,0.311478,0.172207,0.139837,9.4389,0.155312,0.206387,0.19536,0.75763,9.08962,0.795003,3.33272,0.257857,1.41173,23.7574,0.533054,62.5585,20.4997,6.5844,1.44742,-3.2937,-0.356832,
Orta,3.80783e+08,4.63183e+08,8.43966e+08,2.43962e+08,1.45123e+08,3.89085e+08,4.54881e+08,4.24096e+08,3.07846e+07,8.43966e+08,1.56083,45.1183,1.50615,0.785048,6.11583,25.0451,24.4235,80.8786,25.0451,23.596,11.347,25.0451,6.49142,-0.0242402,85.5356,54.8817,2.01898,0.218992,0.224565,7.10199,0.289066,0.640685,0.53632,0.627014,0.896643,0.53898,22.4636,0.855356,0.259189,1.24873,1.74075,1.36056,46.102,60.5872,0.640856,-1.95364,-0.269962,
Dusuk,1.40167e+08,4.27026e+08,5.67193e+08,2.11529e+08,2.83572e+08,4.95101e+08,7.20923e+07,7.20923e+07,0,5.67193e+08,0.662641,24.7125,0.318624,0.0826374,-0.748574,11.9158,9.88652,19.1895,11.9158,-2.47111,-5.88948,11.9158,3.60967,-0.338601,686.759,75.2875,6.49005,0.080306,0.0967897,24.1822,0.372939,1.50911,2.93413,0.427243,0.812278,0.127104,0.240968,6.86759,0.30293,3.94855,0.815781,2.52087,87.2896,2.3114,-0.0199025,0.706544,-0.629289,
