Dönen Varlıklar,Duran Varlıklar,Toplam Varlıklar,Kısa Vadeli Yükümlülükler,Uzun Vadeli Yükümlülükler,Toplam Yükümlülükler,Toplam Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Kontrol Gücü Olmayan Kaynaklar,Toplam Kaynaklar,Cari Oran,Dönen Varlıklar / Aktif (%),Asit Test Oranı,Nakit Oranı,Aktif Karlılık (%),Faaliyet Kar Marjı,Esas Faaliyet Kar Marjı,Brüt Kar Marjı (%),FAVÖK Marjı (%),Net Kar Marjı,Özsermaye Karlılığı (%),VAFÖK Marjı,ROCE Oranı,Finansman Gider / Net Satış,Borç Kaynak Oranı,Duran Varlıklar / Aktif ,Duran Varlıklar / Maddi Özkaynak,Esas Faaliyet Karı / Kısa Vadeli Borç,FAVÖK / Kısa Vade Borç,Net Borç / FAVÖK,Kısa Vade Borç / Aktif,Kısa Vade Borç / Dönen Varlık,Kısa Vade Borç / Özsermaye,Kısa Vade Borç / Toplam Borç,Net Satışlar / Kısa Vade Borç,Özsermaye / Aktif,Özsermaye / Maddi Duran Varlıklar,Toplam Borç / Özsermaye,Aktif Devir Hızı,Alacak Devir Hızı,Dönen Varlıklar Devir Hızı,Ticari Borçlar Devir Hızı,Finansal Kaldıraç,Stok Devir Hızı,Springate Skoru,Zmijewski Skoru,L Model Skoru,FBE_Sınıfı
670576922.0,1242449613.0,1913026535.0,598179105.0,221724837.0,819903942.0,1093122593.0,1093122593.0,0.0,1913026535.0,1.121030334,35.05319501,0.486407662,0.164649852,0.085353338,1.315431176,0.683982889,13.36125952,1.315431176,0.123856882,0.149373182,1.315431176,0.906501435,-0.049581754,75.00567157,64.94680499,1.13788107,0.015074238,0.02899067,47.27956632,0.312687302,0.892036522,0.547220512,0.729572178,2.203891049,0.571410053,1.006673501,0.750056716,0.689128745,8.601359299,0.508659598,6.243225801,42.85899474,3.433324346,0.271379785,-1.865362321,-0.31954715,Dusuk
65814316.0,194896378.0,260710694.0,4096232.0,1279577.0,5375809.0,255334885.0,255334885.0,0.0,260710694.0,16.0670382,25.24419501,16.00396535,6.055843517,1.809803782,-229.0081847,-42.76946828,61.85121319,-229.0081847,152.1360003,1.847907308,-229.0081847,-2.724272216,-0.67148427,2.10539543,74.75580499,0.763399509,-0.323822967,-1.733903011,-0.75689299,0.015711791,0.062239225,0.016042587,0.761974988,0.757135826,0.979380175,82.59004416,0.021053954,0.01189596,11.98980941,21.22081354,5.850854029,2.061982544,0.0,1.064389691,-4.328176318,-2.343938141,Orta
8143703.0,9364.0,8153067.0,276844.0,17106.0,293950.0,7859117.0,7859117.0,0.0,8153067.0,29.41621635,99.88514752,0.294216237,0.131612027,-8.558288556,0.0,0.0,0.0,0.0,0.0,-8.878389264,0.0,-9.072450895,0.0,3.740242065,0.114852484,0.001192139,-2.675557354,-2.671840459,-0.397399967,0.033955811,0.033994855,0.03522584,0.94180643,0.0,0.963946083,1559.658067,0.037402421,0.0,0.0,0.0,0.0,3.605391689,0.042389527,-0.932373756,-3.827034554,-1.550080177,Orta
1064865634.0,442660641.0,1507526275.0,615201701.0,210285490.0,825487191.0,682039084.0,682206459.0,-167375.0,1507526275.0,1.730921147,70.63662184,1.087852343,0.44616374,8.8674676,33.91430825,19.68280414,26.53357681,33.91430825,11.96328654,19.5999624,33.91430825,25.13807794,-0.316994144,121.0322415,29.36337816,0.667046049,0.357506086,0.615998183,2.178278375,0.408086885,0.577727068,0.902003588,0.74525893,1.816337159,0.452422684,1.785206817,1.210322415,0.741223373,2.974880776,0.952973482,6.759615454,54.75773157,2.479618553,1.124430168,-1.584769027,-0.398113169,Yuksek
16671124.0,26558033.0,43229157.0,8366010.0,3054321.0,11420331.0,31808826.0,31808826.0,0.0,43229157.0,1.992721022,38.56453643,0.436106459,0.34418283,1.582159004,-0.087158463,-0.957723102,26.29875469,-0.087158463,7.666201022,2.15020196,-0.087158463,-0.017987859,-0.018088968,35.90302578,61.43546357,0.837113483,-0.010213351,-0.000929475,-1468.663966,0.193527022,0.501826392,0.263009078,0.732554074,1.066420074,0.73581879,1.321033275,0.359030258,0.206381101,11.69447645,1.868607945,4.08595088,26.41812099,0.545970252,0.334436875,-2.873335143,-0.490551735,Orta
767898691.0,372747905.0,1140646596.0,860710332.0,138660706.0,999371038.0,141275558.0,141275558.0,0.0,1140646596.0,0.892168552,67.32135034,0.54067736,0.467927967,2.89971803,1.745993695,4.253125293,11.402278,1.745993695,0.731650765,23.41207175,1.745993695,6.919816995,-0.024149425,707.3913224,32.67864966,3.620591794,0.223385103,0.091704089,12.66137995,0.754581073,1.120864434,6.092422102,0.861252027,5.252257749,0.123855678,0.81001678,7.073913224,3.963254287,72.19658542,0.169863818,5.328244366,87.61443216,13.51156226,1.645218991,0.559966647,-0.498206403,Dusuk
1180635453.0,391457572.0,1572093025.0,870602055.0,111269746.0,981871801.0,590221224.0,590221224.0,0.0,1572093025.0,1.356113791,75.09959234,0.661033936,0.02138646,-18.80408305,0.877300541,0.457555349,10.4589704,0.877300541,-25.97384551,-50.08591118,0.877300541,0.635132453,-0.316116823,166.3565729,24.90040766,0.664417099,0.00598161,0.011468929,98.33593287,0.55378533,0.737401247,1.475043627,0.886675892,1.30729759,0.375436577,1.986475857,1.663565729,0.723962227,2.272240704,1.037341307,6.763255658,62.4563423,1.753781177,-0.306273075,0.100770793,-0.48943637,Dusuk
17214735.0,977747.0,18192482.0,6134312.0,186334.0,6320646.0,11871836.0,11871836.0,0.0,18192482.0,2.806302483,94.62554367,1.954465798,0.289601018,2.402025188,7.540894092,4.44696238,31.73066954,7.540894092,6.491065405,3.680879689,7.540894092,2.790515335,-0.005337822,53.24067819,5.374456328,0.082960311,0.048803517,0.082758099,12.45045148,0.337189395,0.356340774,0.516711316,0.970519785,1.097457384,0.652568242,15.9984853,0.532406782,0.370050991,0.7084456,2.557094721,1.284269181,34.74317578,1.15612439,0.921384181,-2.438955324,-0.393465137,Orta
600800000.0,768789000.0,1369589000.0,107353000.0,250736000.0,358089000.0,1011500000.0,1011500000.0,0.0,1369589000.0,5.596490084,43.86717475,5.520097249,4.276564232,13.6509566,67.24286498,59.7392311,62.70639128,67.24286498,81.36494591,18.48363816,67.24286498,11.28163266,-0.048467678,35.40177954,56.13282525,0.760082258,1.278678751,1.439289074,2.317548152,0.078383369,0.178683422,0.106132477,0.299794185,2.140433896,0.738542731,1.324251009,0.354017795,0.16777442,184.4157303,2.614652149,12.81501421,26.14572693,44.74882507,1.906233353,-3.446372572,-0.310180199,Yuksek
2681582921.0,3036456571.0,5718039492.0,1323997783.0,2257711501.0,3581709284.0,2136330208.0,2136330208.0,0.0,5718039492.0,2.025368135,46.89689403,0.981387729,0.303367256,-0.999097227,12.63734777,13.0903573,22.4513817,12.63734777,-3.091611396,-2.674154669,12.63734777,4.083934718,-0.079898196,167.6571005,53.10310597,1.916712389,0.182698191,0.176375673,15.33784663,0.231547506,0.493737401,0.619753341,0.36965529,1.395670011,0.373612356,2.345379891,1.676571005,0.32316391,2.149554091,1.451179806,2.834323024,62.63876437,1.523742814,0.473127123,-0.692732528,-0.415131312,Dusuk
